Team,GF,Leading_scorer_goals,Scorer_share_pct
Argentina,19,8.0,42.10526315789474
Australia,3,1.0,33.333333333333336
Austria,6,2.0,33.333333333333336
Belgium,14,3.0,21.428571428571427
Bosnia–Herz,5,2.0,40.0
Brazil,10,4.0,40.0
Canada,9,3.0,33.333333333333336
Colombia,5,2.0,40.0
Croatia,6,1.0,16.666666666666668
Côte d'Ivoire,5,2.0,40.0
Ecuador,2,1.0,50.0
Egypt,8,2.0,25.0
England,20,7.0,35.0
France,20,10.0,50.0
Germany,11,3.0,27.272727272727273
Ghana,2,1.0,50.0
Haiti,2,1.0,50.0
IR Iran,3,2.0,66.66666666666667
Iraq,1,1.0,100.0
Japan,8,2.0,25.0
Jordan,3,1.0,33.333333333333336
Korea Republic,2,1.0,50.0
Mexico,10,4.0,40.0
Morocco,10,3.0,30.0
Netherlands,11,3.0,27.272727272727273
Paraguay,3,1.0,33.333333333333336
Qatar,2,1.0,50.0
Saudi Arabia,1,1.0,100.0
Scotland,1,1.0,100.0
South Africa,2,1.0,50.0
Spain,14,5.0,35.714285714285715
Sweden,7,2.0,28.571428571428573
Switzerland,10,3.0,30.0
Tunisia,2,1.0,50.0
Türkiye,3,1.0,33.333333333333336
Uzbekistan,2,1.0,50.0
