Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,Team,Leading_scorer_goals,Scorer_share_pct
1,es Spain,8,7,1,0,14,1,13,22,Mikel Oyarzabal - 5,Unai Simón,,Spain,5.0,35.714285714285715
2,ar Argentina,8,7,0,1,19,8,11,21,Lionel Messi - 8,Emiliano Martínez,,Argentina,8.0,42.10526315789474
3,eng England,8,6,1,1,20,12,8,19,Jude Bellingham - 7,Jordan Pickford,,England,7.0,35.0
4,fr France,8,6,0,2,20,10,10,18,Kylian Mbappé - 10,Mike Maignan,,France,10.0,50.0
QF,no Norway,6,4,0,2,13,11,2,12,Erling Haaland - 7,Ørjan Nyland,,Norway,7.0,53.84615384615385
QF,be Belgium,6,3,2,1,14,7,7,11,Romelu Lukaku Charles De Ketelaere - 3,Thibaut Courtois,,Belgium,3.0,21.428571428571427
QF,ma Morocco,6,3,2,1,10,6,4,11,Ismael Saibari - 3,Yassine Bounou,,Morocco,3.0,30.0
QF,ch Switzerland,6,3,2,1,10,6,4,11,Johan Manzambi - 3,Gregor Kobel,,Switzerland,3.0,30.0
R16,mx Mexico,5,4,0,1,10,3,7,12,Julián Quiñones - 4,Raúl Rangel,,Mexico,4.0,40.0
R16,co Colombia,5,3,2,0,5,1,4,11,Daniel Muñoz - 2,Camilo Vargas,,Colombia,2.0,40.0
R16,br Brazil,5,3,1,1,10,4,6,10,Vinicius Júnior - 4,Alisson,,Brazil,4.0,40.0
R16,us USA,5,3,0,2,11,8,3,9,Folarin Balogun - 3,Matt Freese,,USA,3.0,27.272727272727273
R16,pt Portugal,5,2,2,1,8,3,5,8,Cristiano Ronaldo - 3,Diogo Costa,,Portugal,3.0,37.5
R16,ca Canada,5,2,1,2,9,6,3,7,Jonathan David - 3,Maxime Crépeau,,Canada,3.0,33.333333333333336
R16,eg Egypt,5,1,3,1,8,7,1,6,Emam Ashour Mostafa Ziko - 2,Mostafa Shobeir,,Egypt,2.0,25.0
R16,py Paraguay,5,1,2,2,3,6,-3,5,Matías Galarza Julio Enciso... - 1,Orlando Gill,,Paraguay,1.0,33.333333333333336
R32,nl Netherlands,4,2,2,0,11,5,6,8,Cody Gakpo Brian Brobbey - 3,Bart Verbruggen,,Netherlands,3.0,27.272727272727273
R32,de Germany,4,2,1,1,11,5,6,7,Deniz Undav Kai Havertz - 3,Manuel Neuer,,Germany,3.0,27.272727272727273
R32,ci Côte d'Ivoire,4,2,0,2,5,4,1,6,Nicolas Pépé Amad Diallo - 2,Yahia Fofana,,Côte d'Ivoire,2.0,40.0
R32,hr Croatia,4,2,0,2,6,7,-1,6,Ivan Perišić Nikola Vlašić... - 1,Dominik Livaković,,Croatia,1.0,16.666666666666668
R32,jp Japan,4,1,2,1,8,5,3,5,Daichi Kamada Ayase Ueda - 2,Zion Suzuki,,Japan,2.0,25.0
R32,au Australia,4,1,2,1,3,3,0,5,Connor Metcalfe Nestory Irankunda - 1,Patrick Beach,,Australia,1.0,33.333333333333336
R32,cd Congo DR,4,1,1,2,5,5,0,4,Yoane Wissa - 3,Lionel Mpasi,,Congo DR,3.0,60.0
