team,matches_played,nineties,avg_age,possession_pct,goals,assists,yellow_cards,red_cards,shots,shots_on_target,shot_accuracy_pct,shots_per90,shots_on_target_per90,yellow_cards_check,red_cards_check,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,goals_against,shots_on_target_against,saves,save_pct,clean_sheets,clean_sheet_pct,confederation,stage_reached,stage_code,advanced_to_r32,quarterfinalist,host_team,yellow_cards_per90,fouls_per90,saves_per90,goals_against_per90,save_pct_recomputed,save_pct_difference_pp,save_pct_source_discrepancy,is_uefa
Algeria,4,4.0,27.3,61.0,5,3,3,0,44,15,34.1,11.0,3.75,3,0,29,40,4,40,30,44,9,17,8,47.1,0,0.0,CAF,Round of 32,2,1,0,0,0.75,7.25,2.0,2.25,47.05882352941176,-0.04117647058824048,0,0
Argentina,8,9.0,29.6,57.6,18,12,15,1,114,44,38.6,12.67,4.89,15,1,113,100,22,104,82,93,8,28,20,71.4,2,25.0,CONMEBOL,Final,7,1,1,0,1.6666666666666667,12.555555555555555,2.2222222222222223,0.8888888888888888,71.42857142857143,0.028571428571424917,0,0
Australia,4,4.3,25.3,41.0,2,1,5,0,42,12,28.6,9.69,2.77,5,0,46,38,1,70,29,34,3,17,14,82.4,2,50.0,AFC,Round of 32,2,1,0,0,1.1627906976744187,10.697674418604652,3.255813953488372,0.6976744186046512,82.35294117647058,-0.04705882352942581,0,0
Austria,4,4.0,28.8,45.0,5,4,5,0,32,8,25.0,8.0,2.0,5,0,47,28,11,59,41,29,9,22,13,59.1,0,0.0,UEFA,Round of 32,2,1,0,0,1.25,11.75,3.25,2.25,59.09090909090909,-0.009090909090907928,0,1
Belgium,6,6.3,29.2,51.2,13,10,6,1,112,34,30.4,17.68,5.37,6,1,78,68,8,114,50,47,7,23,16,69.6,1,16.7,UEFA,Quarter-finals,4,1,1,0,0.9523809523809524,12.380952380952381,2.5396825396825395,1.1111111111111112,69.56521739130434,-0.0347826086956502,0,1
Bosnia and Herzegovina,4,4.0,26.6,46.0,4,3,7,1,37,14,37.8,9.25,3.5,7,1,60,38,2,57,34,37,8,14,6,42.9,0,0.0,UEFA,Round of 32,2,1,0,0,1.75,15.0,1.5,2.0,42.857142857142854,-0.04285714285714448,0,1
Brazil,5,5.0,29.2,53.0,10,8,8,0,74,30,40.5,14.8,6.0,8,0,51,53,11,93,48,46,4,18,14,77.8,2,40.0,CONMEBOL,Round of 16,3,1,0,0,1.6,10.2,2.8,0.8,77.77777777777779,-0.022222222222211485,0,0
Cabo Verde,4,4.3,30.8,37.3,4,2,5,0,49,12,24.5,11.31,2.77,5,0,27,47,7,50,52,45,5,23,18,78.3,2,50.0,CAF,Round of 32,2,1,0,0,1.1627906976744187,6.279069767441861,4.186046511627907,1.1627906976744187,78.26086956521739,-0.03913043478260647,0,0
Canada,5,5.0,26.9,54.4,8,3,11,0,80,31,38.8,16.0,6.2,11,0,72,73,7,146,36,51,6,12,6,50.0,2,40.0,CONCACAF,Round of 16,3,1,0,1,2.2,14.4,1.2,1.2,50.0,0.0,0,0
Colombia,5,5.3,30.0,57.8,5,5,8,0,94,30,31.9,17.62,5.63,8,0,70,64,19,70,38,33,1,7,6,85.7,4,80.0,CONMEBOL,Round of 16,3,1,0,0,1.509433962264151,13.20754716981132,1.1320754716981132,0.18867924528301888,85.71428571428571,0.014285714285705353,0,0
Congo DR,4,4.0,28.8,40.0,5,3,6,0,41,9,22.0,10.25,2.25,6,0,44,45,9,57,22,41,5,19,14,73.7,0,0.0,CAF,Round of 32,2,1,0,0,1.5,11.0,3.5,1.25,73.68421052631578,-0.015789473684222344,0,0
Côte d'Ivoire,4,4.0,25.5,49.8,5,4,4,0,45,14,31.1,11.25,3.5,4,0,29,36,4,61,40,48,4,13,9,69.2,2,50.0,CAF,Round of 32,2,1,0,0,1.0,7.25,2.25,1.0,69.23076923076923,0.030769230769223554,0,0
Croatia,4,4.0,29.1,49.8,6,5,4,0,37,17,45.9,9.25,4.25,4,0,45,47,8,67,25,32,7,17,10,58.8,1,25.0,UEFA,Round of 32,2,1,0,0,1.0,11.25,2.5,1.75,58.82352941176471,0.023529411764712904,0,1
Curaçao,3,3.0,28.9,32.3,1,0,7,0,29,7,24.1,9.67,2.33,7,0,32,31,5,23,39,26,9,29,20,69.0,1,33.3,CONCACAF,Group stage,1,0,0,0,2.3333333333333335,10.666666666666666,6.666666666666667,3.0,68.96551724137932,-0.034482758620683285,0,0
Czechia,3,3.0,27.8,42.7,2,2,1,0,34,8,23.5,11.33,2.67,1,0,37,31,5,57,19,19,6,15,9,60.0,0,0.0,UEFA,Group stage,1,0,0,0,0.3333333333333333,12.333333333333334,3.0,2.0,60.0,0.0,0,1
Ecuador,4,4.0,26.8,55.8,2,2,8,1,53,20,37.7,13.25,5.0,8,1,49,38,2,83,38,49,4,13,9,69.2,1,25.0,CONMEBOL,Round of 32,2,1,0,0,2.0,12.25,2.25,1.0,69.23076923076923,0.030769230769223554,0,0
