team,confederation,assists_per90,advanced_to_r32,stage_reached,matches_played,sample_2026
Algeria,CAF,0.75,1,Round of 32,4,1
Argentina,CONMEBOL,1.3333333333333333,1,Final,8,1
Australia,AFC,0.23255813953488372,1,Round of 32,4,1
Austria,UEFA,1.0,1,Round of 32,4,1
Belgium,UEFA,1.5873015873015874,1,Quarter-finals,6,1
Bosnia and Herzegovina,UEFA,0.75,1,Round of 32,4,0
Brazil,CONMEBOL,1.6,1,Round of 16,5,1
Cabo Verde,CAF,0.46511627906976744,1,Round of 32,4,1
Canada,CONCACAF,0.6,1,Round of 16,5,1
Colombia,CONMEBOL,0.9433962264150944,1,Round of 16,5,1
Congo DR,CAF,0.75,1,Round of 32,4,1
Côte d'Ivoire,CAF,1.0,1,Round of 32,4,1
Croatia,UEFA,1.25,1,Round of 32,4,0
Curaçao,CONCACAF,0.0,0,Group stage,3,1
Czechia,UEFA,0.6666666666666666,0,Group stage,3,1
Ecuador,CONMEBOL,0.5,1,Round of 32,4,1
Egypt,CAF,1.509433962264151,1,Round of 16,5,0
England,UEFA,1.686746987951807,1,Third-place match,8,0
France,UEFA,2.25,1,Third-place match,8,0
Germany,UEFA,2.3255813953488373,1,Round of 32,4,1
Ghana,CAF,0.25,1,Round of 32,4,1
Haiti,CONCACAF,0.3333333333333333,0,Group stage,3,0
IR Iran,AFC,0.3333333333333333,0,Group stage,3,1
Iraq,AFC,0.3333333333333333,0,Group stage,3,1
Japan,AFC,1.75,1,Round of 32,4,1
Jordan,AFC,1.0,0,Group stage,3,0
Korea Republic,AFC,0.6666666666666666,0,Group stage,3,1
Mexico,CONCACAF,1.4,1,Round of 16,5,0
Morocco,CAF,1.4285714285714286,1,Quarter-finals,6,1
Netherlands,UEFA,2.3255813953488373,1,Round of 32,4,0
New Zealand,OFC,1.0,0,Group stage,3,1
Norway,UEFA,1.5873015873015874,1,Quarter-finals,6,1
Panama,CONCACAF,0.0,0,Group stage,3,1
Paraguay,CONMEBOL,0.5660377358490566,1,Round of 16,5,1
Portugal,UEFA,0.8,1,Round of 16,5,0
Qatar,AFC,0.6666666666666666,0,Group stage,3,0
Saudi Arabia,AFC,0.0,0,Group stage,3,1
Scotland,UEFA,0.0,0,Group stage,3,1
Senegal,CAF,2.0930232558139537,1,Round of 32,4,1
South Africa,CAF,0.25,1,Round of 32,4,0
Spain,UEFA,1.2048192771084336,1,Final,8,0
Sweden,UEFA,1.5,1,Round of 32,4,1
Switzerland,UEFA,0.8955223880597015,1,Quarter-finals,6,0
Tunisia,CAF,0.6666666666666666,0,Group stage,3,0
Türkiye,UEFA,1.0,0,Group stage,3,0
Uruguay,CONMEBOL,0.3333333333333333,0,Group stage,3,1
USA,CONCACAF,0.8,1,Round of 16,5,0
Uzbekistan,AFC,0.3333333333333333,0,Group stage,3,0
